gene_feature,p_value
rna_IKBKG,7.199967228584387e-7
rna_TMUB1,7.257540951171705e-7
rna_ANKRD9,7.300690014494001e-7
rna_CDH5,7.647620824423887e-7
rna_USP2,7.744266553566198e-7
rna_OGT,7.754759156407117e-7
rna_ATN1,8.053831188256026e-7
rna_PSMD4,8.082911914177145e-7
rna_CASP3,8.160085590965681e-7
rna_KLHL17,8.775325135714494e-7
rna_MYCN,8.778732439891061e-7
rna_USP12,8.808833864766112e-7
rna_SENP5,8.923986156686469e-7
rna_DDA1,8.952411337392306e-7
rna_MAPT,9.096367277964511e-7
rna_BRAF,9.232516651133169e-7
rna_PSMD3,9.636108700139606e-7
rna_USP38,9.679382004305034e-7
rna_ALOXE3,9.781574185766286e-7
rna_LMO7,9.89292292157551e-7
rna_PCOLCE,1.0024121427296758e-6
rna_ACVR2A,1.0090852708477999e-6
rna_ADAM32,1.0132446106287184e-6
rna_ZNF580,1.0342970741645327e-6
rna_FZD5,1.0372688970004033e-6
rna_PLAU,1.0433027471356573e-6
rna_PYCARD,1.0706877793481867e-6
rna_NEDD9,1.073521201514014e-6
rna_RC3H2,1.075380466405321e-6
rna_RNF13,1.1074163366119158e-6
rna_MFHAS1,1.1216229817023407e-6
rna_VPS37D,1.1305926141183872e-6
rna_IL15RA,1.1764526385677094e-06
rna_BBS7,1.181897808740352e-6
rna_GNA11,1.2041881954889181e-6
rna_SEMA3D,1.237803288809218e-6
rna_UCHL1,1.2523724787142345e-6
rna_TMEM204,1.2543157725537675e-6
rna_IL1RN,1.2788668291070501e-6
rna_COL6A2,1.2936329662619758e-6
rna_KLF6,1.3055006874825476e-6
rna_CALR,1.3118972481969397e-6
rna_NOD2,1.3190365886262986e-6
rna_ABCB1,1.3439591473060359e-6
rna_IQSEC2,1.3741102754668683e-6
rna_ZP1,1.3757867029879907e-6
rna_VPS35,1.3775599760038375e-6
rna_ADAMTSL5,1.3894979389981215e-6
rna_THRB,1.4423213295778695e-6
rna_PILRB,1.443102704466712e-6
rna_ATG4C,1.4897651457035174e-6
rna_SOCS6,1.493336849187298e-6
rna_FOXH1,1.522358914043508e-6
rna_SNX4,1.5498695140216804e-6
rna_CAPN10,1.5985801278153436e-6
rna_RHOG,1.6023435596809114e-6
rna_NUP107,1.6161065257382328e-6
rna_TFE3,1.63445050224574e-6
rna_FRK,1.7385905041647238e-6
rna_AXIN1,1.7410828102724387e-6
rna_NPNT,1.7421616048173037e-6
rna_BLM,1.7565047286304255e-6
rna_PPP2CB,1.7576582016668796e-6
rna_ADAMTS13,1.7635330207601628e-6
rna_LRRC8A,1.8626279986390496e-6
rna_C1S,1.8857009067954606e-6
rna_SEC61A1,1.8906641373381328e-6
rna_MNX1,1.91944931719465e-6
rna_LRRK2,1.9590899091610135e-6
rna_ZNRF1,1.9946151655659135e-6
rna_SHCBP1,2.033871242429009e-6
rna_ARPC5,2.040860708312481e-6
rna_SPTLC2,2.0435354513611566e-6
rna_ADA,2.0840564877242618e-6
rna_PLA2G6,2.0900449827089706e-6
rna_SMPD3,2.0920121648972062e-6
rna_SLC39A8,2.1239945765635104e-6
rna_PLCB1,2.1297345088642285e-6
rna_MED25,2.1599064915216344e-6
rna_ICAM4,2.1625385709065345e-6
rna_FECH,2.2226330264453046e-6
rna_RHOQ,2.252533067918761e-6
rna_BBS1,2.2768205244373056e-6
rna_RNF19B,2.287923334493695e-6
rna_CPB1,2.3227148881370605e-6
rna_CEP290,2.347899663275376e-6
rna_PSMB3,2.3791746098991786e-6
rna_NAPEPLD,2.395558045291515e-6
rna_IL6ST,2.4116415106977382e-6
rna_DOK1,2.427804847426133e-6
rna_KLK11,2.430298304299348e-6
rna_MASP1,2.4536470830413224e-6
rna_CCNO,2.4601782313550128e-6
rna_FBXW11,2.4701437415967013e-6
rna_ASCC2,2.493017875788457e-6
rna_ESAM,2.4964735890726686e-6
rna_TBX19,2.5793313151032277e-6
rna_PRDM12,2.654655328358339e-6
rna_GCLC,2.686082904802848e-6
rna_KDM2B,2.6996472715407154e-6
rna_SOCS3,2.703320356189444e-6
rna_WAC,2.719754583940765e-6
rna_CXCL1,2.7339386518963556e-6
rna_COL25A1,2.7597317994575027e-6
rna_MAPK1,2.7644687745851545e-6
rna_CYP7B1,2.7658585651460696e-6
rna_SOCS2,2.8033348457125597e-6
rna_ZGPAT,2.8049067979186128e-6
rna_AKT1S1,2.849111729864124e-6
rna_TBC1D8B,2.8635922490218583e-6
rna_SPOPL,2.887004420961351e-6
rna_AHI1,2.887646368722684e-6
rna_TREM1,2.9172139459375836e-6
rna_CCL11,2.9178304871967043e-6
rna_ADAM11,2.924215081892619e-6
rna_FBXO21,2.9456950687654636e-6
rna_SETD6,2.974393610842927e-6
rna_PML,2.975130826663054e-6
rna_ETS1,3.017162082576424e-6
rna_CSNK1E,3.0185482215370743e-6
rna_PJA2,3.0195384973606737e-6
rna_TYK2,3.0314846851364874e-6
rna_MERTK,3.0326019876227535e-6
rna_LBP,3.0617041538532806e-6
rna_FCHSD1,3.0801545155586695e-6
rna_CXCL2,3.081715956896282e-6
rna_CHKA,3.0896015022918395e-6
rna_FGF17,3.207404671245625e-6
rna_UBQLN4,3.2188704905532655e-6
rna_CYFIP1,3.264134229805652e-6
rna_LMBRD1,3.2702905242838494e-6
rna_ZNF699,3.2724702453725225e-6
rna_HOXA13,3.317387857596487e-6
rna_AVIL,3.374673903415721e-6
rna_BAK1,3.3855161526061264e-6
rna_HSPG2,3.4448372798353518e-6
rna_COL24A1,3.477451037264294e-6
rna_GET4,3.4779692257266315e-6
rna_DOCK3,3.536422458379295e-6
rna_PRRG4,3.5571320157966302e-6
rna_WDR77,3.5791508462250636e-6
rna_ANGPTL8,3.5815492519993087e-6
rna_DAO,3.6121397633495295e-6
rna_CYBA,3.6180870955851113e-6
rna_ANXA2,3.6298448267425744e-6
rna_ITGA1,3.676408525533941e-6
rna_UBR1,3.6791985604023853e-6
rna_FRAS1,3.683130472449555e-6
rna_PDPK1,3.730441559805016e-6
rna_SLC25A24,3.7830320929617826e-6
rna_TLL2,3.7946819717044424e-6
rna_EMP3,3.825339628331706e-6
rna_F8,3.8255010846025735e-6
rna_DGKQ,3.83010464192879e-6
rna_P4HA3,3.858402256675888e-6
rna_NAPSA,3.9405341457186e-6
rna_MIPEP,4.047920014558773e-6
rna_CHMP5,4.104646387850683e-6
rna_HIPK3,4.130289284260926e-6
rna_IGFBP1,4.131354006024401e-6
rna_CASP4,4.192488952184971e-6
